Date,Close,Strategy_Equity,Sharpe,Max_Drawdown,Total_Return
2024-06-27,5482.8701171875,1.0,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-06-28,5460.47998046875,0.997324436071756,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-01,5475.08984375,0.9911456941904189,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-02,5509.009765625,0.9861062690114003,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-03,5537.02001953125,0.9807332075159733,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-05,5567.18994140625,0.9797360970802116,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-08,5572.85009765625,0.9790100421544404,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-09,5576.97998046875,0.9690162437313292,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-10,5633.91015625,0.977507761013898,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-11,5584.5400390625,0.9721148242364354,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-12,5615.35009765625,0.9693674307709937,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-15,5631.22021484375,0.9631737782659353,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-16,5667.2001953125,0.976588422698361,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-17,5588.27001953125,0.9842218322824768,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-18,5544.58984375,0.991249437500153,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-19,5505.0,0.9805518382439862,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-22,5564.41015625,0.9820796386010007,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-23,5555.740234375,1.0048138922064422,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-24,5427.1298828125,1.0099812684586253,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-25,5399.22021484375,0.9987801028214144,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-26,5459.10009765625,0.9979677848476665,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-29,5463.5400390625,1.0029178765842879,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-30,5436.43994140625,0.9870783947527798,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-07-31,5522.2998046875,1.0005949556924092,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-01,5446.68017578125,1.0189877529354852,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-02,5346.56005859375,1.049525591433733,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-05,5186.330078125,1.0386587133370602,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-06,5240.02978515625,1.0466923727221533,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-07,5199.5,1.0225738470205161,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-08,5319.31005859375,1.0177967124571186,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-09,5344.16015625,1.01775291261618,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-12,5344.39013671875,1.0006062392683102,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-13,5434.43017578125,0.9967801927492324,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-14,5455.2099609375,0.9806988909491648,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
2024-08-15,5543.22021484375,0.9787475165422548,-1.0356274213150116,-0.37983358500655184,-0.3080293816743168
