Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,Sentiment
2015-01-05,23.577577590942383,24.110153799834524,23.39117684898733,24.030267283850048,257142000,26.693596229553222,27.115872497558595,-0.4885178577395841
2015-01-06,23.57979393005371,23.83942422525078,23.218085117057225,23.64192750227049,263188400,26.693596229553222,27.115872497558595,-0.48646770758042335
2015-01-07,23.910430908203125,24.010288179106578,23.677428352078227,23.788381627754344,160423600,26.693596229553222,27.115872497558595,-0.2557308027860532
2015-01-08,24.82912254333496,24.886818717588337,24.12124014130376,24.23885202924671,237458000,26.693596229553222,27.115872497558595,-0.9033052716656762
2015-01-09,24.855751037597656,25.13091466228469,24.45631860417092,25.002208467845808,214798000,26.693596229553222,27.115872497558595,-0.37072375919453227
2015-01-12,24.24330139160156,24.993345255376365,24.14344407680489,24.986688326791704,198603200,26.693596229553222,27.115872497558595,0.8332110751530009
2015-01-13,24.45854377746582,25.03106316625113,24.16784669635183,24.72705053894741,268367600,26.693596229553222,27.115872497558595,-0.4864087111274189
2015-01-14,24.365345001220703,24.51845940173482,24.076865748230265,24.19669551364108,195826400,26.693596229553222,27.115872497558595,0.2330446419654979
2015-01-15,23.70406150817871,24.423038374576155,23.66855733469648,24.409724521146927,240056000,26.693596229553222,27.115872497558595,0.2799244224138244
2015-01-16,23.51988220214844,23.872714608651197,23.34457576901996,23.75066529032973,314053200,26.693596229553222,27.115872497558595,-0.8030051274600194
2015-01-20,24.125680923461918,24.18115756219577,23.633048100623235,23.930402071590635,199599600,26.693596229553222,27.115872497558595,-0.6058606560704325
2015-01-21,24.309871673583984,24.644949461502037,24.02582976879324,24.176726342926703,194303600,26.693596229553222,27.115872497558595,-0.14409029036902576
2015-01-22,24.942296981811523,24.95783037285458,24.347587350000268,24.467417092195,215185600,26.693596229553222,27.115872497558595,-0.8754281008424671
2015-01-23,25.071001052856445,25.241868339769383,24.749235561509025,24.920104541434466,185859200,26.693596229553222,27.115872497558595,0.8747632750388901
2015-01-26,25.097631454467773,25.377234192519005,25.03106050265451,25.23965151661796,222460000,26.693596229553222,27.115872497558595,-0.41583993016623233
2015-01-27,24.218883514404297,24.960052356934085,24.1944736556585,24.946736811155496,382274800,26.693596229553222,27.115872497558595,0.008348654101784758
2015-01-28,25.588048934936523,26.21160761831203,25.588048934936523,26.102872167761888,585908400,26.693596229553222,27.115872497558595,0.42966712979169075
2015-01-29,26.38469696044922,26.449050082200664,25.64352798321976,25.812177485292057,337745600,26.693596229553222,27.115872497558595,-0.6617760059924709
2015-01-30,25.99857711791992,26.62879102622777,25.929784923186705,26.273740817813987,334982000,26.693596229553222,27.115872497558595,0.5489024081792153
2015-02-02,26.32477760314941,26.44460736236611,25.758916826474497,26.196073070372567,250956400,26.693596229553222,27.115872497558595,-0.7524250283202196
2015-02-03,26.329219818115234,26.42685757601918,26.0984367387742,26.295933487755963,207662800,26.693596229553222,27.115872497558595,-0.5591848636189762
2015-02-04,26.531150817871094,26.741963089882017,26.25376758602479,26.295930379029556,280598800,26.693596229553222,27.115872497558595,-0.07845002078660013
2015-02-05,26.72052383422852,26.78513093959424,26.56680342147233,26.73834513595064,168984800,26.693596229553222,27.115872497558595,0.6282965653462582
2015-02-06,26.495512008666992,26.789584720984383,26.388575704326623,26.738344018974548,174826400,26.693596229553222,27.115872497558595,0.9321751935930613
2015-02-09,26.671504974365234,26.698237770325253,26.38411551993317,26.410850015587748,155559200,26.693596229553222,27.115872497558595,0.7279226646281842
2015-02-10,27.18390274047852,27.212865534998997,26.7695291157995,26.77175571561299,248034000,26.693596229553222,27.115872497558595,0.9614576440097329
2015-02-11,27.821063995361328,27.829975494842717,27.290842523929378,27.350993020810314,294247200,26.693596229553222,27.115872497558595,-0.3070363233844222
2015-02-12,28.17305564880371,28.400294596598293,27.974779494181742,28.08394236927043,297898000,26.693596229553222,27.115872497558595,0.36587698855328266
2015-02-13,28.31117820739746,28.355733992422923,27.99259941535206,28.355733992422923,217088800,26.693596229553222,27.115872497558595,0.6473432630863099
